Date,IXIC
1973/5/2,109.050003
1973/5/3,109.809998
1973/5/4,110.889999
1973/5/7,110.480003
1973/5/8,110.669998
1973/5/9,110.540001
1973/5/10,110.32
1973/5/11,109.099998
1973/5/14,106.459999
1973/5/15,106.139999
1973/5/16,106.099998
1973/5/17,105.190002
1973/5/18,102.889999
1973/5/21,100.760002
1973/5/22,101.589996
1973/5/23,102.089996
1973/5/24,104.269997
1973/5/25,105.169998
1973/5/29,104.849998
1973/5/30,103.190002
1973/5/31,102.639999
1973/6/1,102.300003
1973/6/4,100.769997
1973/6/5,101.709999
1973/6/6,101.699997
1973/6/7,102.57
1973/6/8,103.720001
1973/6/11,103.040001
1973/6/12,104.790001
1973/6/13,104.330002
1973/6/14,103.559998
1973/6/15,102.260002
1973/6/18,100.769997
1973/6/19,100.959999
1973/6/20,101.190002
1973/6/21,100.400002
1973/6/22,100.989998
1973/6/25,99.43
1973/6/26,99.959999
1973/6/27,100.220001
1973/6/28,101.160004
1973/6/29,100.980003
1973/7/2,100.150002
1973/7/3,99.449997
1973/7/5,99.389999
1973/7/6,99.480003
1973/7/9,100.010002
1973/7/10,101.18
1973/7/11,102.690002
1973/7/12,103.169998
1973/7/13,103.029999
1973/7/16,103.970001
1973/7/17,104.639999
1973/7/18,105.769997
1973/7/19,106.519997
1973/7/20,107.68
1973/7/23,107.75
1973/7/24,108.290001
1973/7/25,109.190002
1973/7/26,109.169998
1973/7/27,109.360001
1973/7/30,108.879997
1973/7/31,108.639999
1973/8/1,107.129997
1973/8/2,106.980003
1973/8/3,106.82
1973/8/6,107.209999
1973/8/7,107.300003
1973/8/8,106.129997
1973/8/9,106.150002
1973/8/10,105.32
1973/8/13,104.349998
1973/8/14,103.589996
1973/8/15,103.349998
1973/8/16,103.309998
1973/8/17,103.709999
1973/8/20,102.669998
1973/8/21,102.120003
1973/8/22,101.339996
1973/8/23,102.529999
1973/8/24,102.400002
1973/8/27,102.910004
1973/8/28,102.989998
1973/8/29,103.790001
1973/8/30,103.989998
1973/8/31,104.870003
1973/9/4,105.5
1973/9/5,106.029999
1973/9/6,106.360001
1973/9/7,107.019997
1973/9/10,106.25
1973/9/11,105.769997
1973/9/12,105.330002
1973/9/13,105.599998
1973/9/14,106.07
1973/9/17,106.269997
1973/9/18,106.300003
1973/9/19,107.910004
1973/9/20,108.760002
1973/9/21,109.459999
1973/9/24,109.690002
1973/9/25,109.800003
1973/9/26,110.620003
1973/9/27,111.269997
1973/9/28,111.199997
1973/10/1,110.970001
1973/10/2,111.760002
1973/10/3,112.129997
1973/10/4,111.510002
1973/10/5,112.559998
1973/10/8,113.169998
1973/10/9,113.07
1973/10/10,112.169998
1973/10/11,113.559998
1973/10/12,114.099998
1973/10/15,113.129997
1973/10/16,113.139999
1973/10/17,112.660004
1973/10/18,112.82
1973/10/19,113.25
1973/10/22,112.290001
1973/10/23,111.809998
1973/10/24,112.129997
1973/10/25,112.309998
1973/10/26,112.790001
1973/10/29,112.089996
1973/10/30,110.629997
1973/10/31,110.169998
1973/11/1,109.620003
1973/11/2,108.93
1973/11/5,107.209999
1973/11/6,106.290001
1973/11/7,106.720001
1973/11/8,107.309998
1973/11/9,105.769997
1973/11/12,105.080002
1973/11/13,104.739998
1973/11/14,101.980003
1973/11/15,101.629997
1973/11/16,101.379997
1973/11/19,99
1973/11/20,96.580002
1973/11/21,97.32
1973/11/23,97.300003
1973/11/26,94.129997
1973/11/27,93.07
1973/11/28,94.940002
1973/11/29,94.620003
1973/11/30,93.510002
1973/12/3,91.970001
1973/12/4,91.559998
1973/12/5,89.730003
1973/12/6,91.269997
1973/12/7,92.32
1973/12/10,93.540001
1973/12/11,92.199997
1973/12/12,90.809998
1973/12/13,89.120003
1973/12/14,89.629997
1973/12/17,89.129997
1973/12/18,90.559998
1973/12/19,90.239998
1973/12/20,90.269997
1973/12/21,89.519997
1973/12/24,88.669998
1973/12/26,90.190002
1973/12/27,91.25
1973/12/28,91.68
1973/12/31,92.190002
1974/1/2,92.529999
1974/1/3,94.18
1974/1/4,94.099998
1974/1/7,94.470001
1974/1/8,94.019997
1974/1/9,92.199997
1974/1/10,91.419998
1974/1/11,92.230003
1974/1/14,92.400002
1974/1/15,93.07
1974/1/16,94.489998
1974/1/17,95.949997
1974/1/18,95.32
1974/1/21,94.480003
1974/1/22,95.290001
1974/1/23,95.760002
1974/1/24,95.610001
1974/1/25,95.400002
1974/1/28,95.019997
1974/1/29,94.559998
1974/1/30,95.169998
1974/1/31,94.93
1974/2/1,94.150002
1974/2/4,92.889999
1974/2/5,92.459999
1974/2/6,92.739998
1974/2/7,92.809998
1974/2/8,92.199997
1974/2/11,91.129997
1974/2/12,90.5
1974/2/13,90.080002
1974/2/14,90.209999
1974/2/15,90.980003
1974/2/19,90.82
1974/2/20,91.559998
1974/2/21,92.169998
1974/2/22,92.93
1974/2/25,92.720001
1974/2/26,93.110001
1974/2/27,94.059998
1974/2/28,94.349998
1974/3/1,94.050003
1974/3/4,93.800003
1974/3/5,94.709999
1974/3/6,95.120003
1974/3/7,94.529999
1974/3/8,95.169998
1974/3/11,95.870003
1974/3/12,95.800003
1974/3/13,96.330002
1974/3/14,96.510002
1974/3/15,96.529999
1974/3/18,95.370003
1974/3/19,94.75
1974/3/20,94.949997
1974/3/21,95.360001
1974/3/22,95.449997
1974/3/25,95.349998
1974/3/26,95.269997
1974/3/27,94.209999
1974/3/28,92.870003
1974/3/29,92.269997
1974/4/1,91.900002
1974/4/2,92.029999
1974/4/3,92.129997
1974/4/4,91.879997
1974/4/5,90.699997
1974/4/8,89.919998
1974/4/9,90.18
1974/4/10,89.870003
1974/4/11,89.790001
1974/4/15,89.419998
1974/4/16,90.330002
1974/4/17,90.720001
1974/4/18,90.900002
1974/4/19,90.309998
1974/4/22,90.269997
1974/4/23,88.470001
1974/4/24,86.949997
1974/4/25,86.040001
1974/4/26,86.239998
1974/4/29,86.459999
1974/4/30,86.860001
1974/5/1,87.629997
1974/5/2,87.970001
1974/5/3,87.470001
1974/5/6,87.309998
1974/5/7,86.660004
1974/5/8,85.739998
1974/5/9,85.809998
1974/5/10,84.300003
1974/5/13,83.18
1974/5/14,83.160004
1974/5/15,83.510002
1974/5/16,83.5
1974/5/17,81.93
1974/5/20,81.43
1974/5/21,81.290001
1974/5/22,80.720001
1974/5/23,80.550003
1974/5/24,81.449997
1974/5/28,81.059998
1974/5/29,79.779999
1974/5/30,80.089996
1974/5/31,80.199997
1974/6/3,81.080002
1974/6/4,81.769997
1974/6/5,82.209999
1974/6/6,83.199997
1974/6/7,83.709999
1974/6/10,83.919998
1974/6/11,83.339996
1974/6/12,83.099998
1974/6/13,83.239998
1974/6/14,82.760002
1974/6/17,81.540001
1974/6/18,81.25
1974/6/19,80.660004
1974/6/20,79.849998
1974/6/21,79.110001
1974/6/24,78.879997
1974/6/25,79.349998
1974/6/26,78.269997
1974/6/27,76.830002
1974/6/28,75.959999
1974/7/1,75.389999
1974/7/2,73.809998
1974/7/3,73.660004
1974/7/5,73.57
1974/7/8,70.959999
1974/7/9,70.589996
1974/7/10,69.82
1974/7/11,69.949997
1974/7/12,71.68
1974/7/15,71.980003
1974/7/16,71.629997
1974/7/17,72.709999
1974/7/18,72.809998
1974/7/19,73.400002
1974/7/22,73.419998
1974/7/23,74.440002
1974/7/24,74.629997
1974/7/25,73.510002
1974/7/26,72.830002
1974/7/29,71.489998
1974/7/30,71.300003
1974/7/31,69.989998
1974/8/1,69.629997
1974/8/2,69.400002
1974/8/5,69.669998
1974/8/6,70.529999
1974/8/7,71.68
1974/8/8,70.660004
1974/8/9,70.690002
1974/8/12,70.360001
1974/8/13,68.82
1974/8/14,67.25
1974/8/15,66.879997
1974/8/16,65.860001
1974/8/19,65.129997
1974/8/20,65.720001
1974/8/21,64.919998
1974/8/22,63.59
1974/8/23,62.57
1974/8/26,62.939999
1974/8/27,62.34
1974/8/28,62.43
1974/8/29,61.369999
1974/8/30,62.369999
1974/9/3,60.880001
1974/9/4,58.950001
1974/9/5,60.220001
1974/9/6,60.700001
1974/9/9,59.369999
1974/9/10,58.970001
1974/9/11,58.959999
1974/9/12,57.709999
1974/9/13,56.66
1974/9/16,57.240002
1974/9/17,57.720001
1974/9/18,58.119999
1974/9/19,59.52
1974/9/20,59.900002
1974/9/23,59.66
1974/9/24,58.84
1974/9/25,58.759998
1974/9/26,57.869999
1974/9/27,57.119999
1974/9/30,55.669998
1974/10/1,55.48
1974/10/2,55.669998
1974/10/3,54.869999
1974/10/4,55.16
1974/10/7,56.57
1974/10/8,56.130001
1974/10/9,57.57
1974/10/10,59.130001
1974/10/11,60.419998
1974/10/14,61.73
1974/10/15,61.400002
1974/10/16,61.189999
1974/10/17,62.040001
1974/10/18,62.75
1974/10/21,63.82
1974/10/22,64.139999
1974/10/23,63.400002
1974/10/24,62.599998
1974/10/25,62.880001
1974/10/28,62.5
1974/10/29,63.669998
1974/10/30,64.879997
1974/10/31,65.230003
1974/11/1,65.059998
1974/11/4,64.620003
1974/11/5,65.989998
1974/11/6,66.110001
1974/11/7,66.639999
1974/11/8,66.510002
1974/11/11,66.720001
1974/11/12,65.360001
1974/11/13,64.980003
1974/11/14,65.040001
1974/11/15,64.410004
1974/11/18,62.09
1974/11/19,60.93
1974/11/20,60.75
1974/11/21,61.490002
1974/11/22,62.07
1974/11/25,61.68
1974/11/26,62.650002
1974/11/27,62.799999
1974/11/29,62.950001
1974/12/2,61.66
1974/12/3,60.5
1974/12/4,60.41
1974/12/5,58.919998
1974/12/6,58.209999
1974/12/9,57.91
1974/12/10,58.759998
1974/12/11,59.27
1974/12/12,59.360001
1974/12/13,59.220001
1974/12/16,58.849998
1974/12/17,59.18
1974/12/18,59.630001
1974/12/19,59.459999
1974/12/20,58.669998
1974/12/23,57.860001
1974/12/24,58.310001
1974/12/26,58.880001
1974/12/27,58.740002
1974/12/30,58.779999
1974/12/31,59.82
1975/1/2,60.700001
1975/1/3,61.23
